instance_id,segment_id,date,interval,uptime,heavy,car,bike,pedestrian,night,heavy_lft,heavy_rgt,car_lft,car_rgt,bike_lft,bike_rgt,pedestrian_lft,pedestrian_rgt,night_lft,night_rgt,direction,car_speed_hist_0to70plus,car_speed_hist_0to120plus,timezone,v85
-1,9000008372,2025-11-21T08:00:00.000Z,hourly,0.4997222222,0.0,34.0,4.0,4.0,0.0,0.0,0.0,24.0,10.0,4.0,0.0,2.0,2.0,0.0,0.0,1,"[58.8235294118, 17.6470588235, 17.6470588235, 5.8823529412, 0.0, 0.0, 0.0, 0.0]","[52.9411764706, 5.8823529412, 5.8823529412, 11.7647058824, 0.0, 17.6470588235, 5.8823529412, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,27.5
-1,9000008372,2025-11-21T09:00:00.000Z,hourly,0.9994444444,0.0,39.0,11.0,6.0,0.0,0.0,0.0,20.0,19.0,8.0,3.0,1.0,5.0,0.0,0.0,1,"[61.5384615385, 17.9487179487, 10.2564102564, 5.1282051282, 5.1282051282, 0.0, 0.0, 0.0]","[48.7179487179, 12.8205128205, 12.8205128205, 5.1282051282, 5.1282051282, 5.1282051282, 5.1282051282, 0.0, 2.5641025641, 2.5641025641, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,25.5
-1,9000008372,2025-11-21T10:00:00.000Z,hourly,0.9991666667,2.0,31.0,16.0,6.0,0.0,0.0,2.0,18.0,13.0,8.0,8.0,3.0,3.0,0.0,0.0,1,"[48.3870967742, 19.3548387097, 19.3548387097, 9.6774193548, 0.0, 3.2258064516, 0.0, 0.0]","[45.1612903226, 3.2258064516, 6.4516129032, 12.9032258065, 3.2258064516, 16.1290322581, 6.4516129032, 3.2258064516, 0.0, 0.0, 3.2258064516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,29.5
-1,9000008372,2025-11-21T11:00:00.000Z,hourly,0.9997222222,1.0,47.0,30.0,20.0,0.0,1.0,0.0,26.0,21.0,10.0,20.0,9.0,11.0,0.0,0.0,1,"[48.9361702128, 21.2765957447, 12.7659574468, 10.6382978723, 4.2553191489, 2.1276595745, 0.0, 0.0]","[42.5531914894, 6.3829787234, 12.7659574468, 8.5106382979, 4.2553191489, 8.5106382979, 4.2553191489, 6.3829787234, 2.1276595745, 2.1276595745, 2.1276595745, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,32.5
-1,9000008372,2025-11-21T12:00:00.000Z,hourly,0.9991666667,1.0,26.0,19.0,36.0,0.0,1.0,0.0,13.0,13.0,9.0,10.0,17.0,19.0,0.0,0.0,1,"[53.8461538462, 11.5384615385, 7.6923076923, 15.3846153846, 7.6923076923, 3.8461538462, 0.0, 0.0]","[50.0, 3.8461538462, 3.8461538462, 7.6923076923, 0.0, 7.6923076923, 11.5384615385, 3.8461538462, 0.0, 7.6923076923, 0.0, 3.8461538462, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,35.5
-1,9000008372,2025-11-21T13:00:00.000Z,hourly,0.9994444444,5.0,27.0,21.0,25.0,0.0,2.0,3.0,5.0,22.0,11.0,10.0,13.0,12.0,0.0,0.0,1,"[37.037037037, 11.1111111111, 14.8148148148, 18.5185185185, 11.1111111111, 7.4074074074, 0.0, 0.0]","[33.3333333333, 3.7037037037, 11.1111111111, 0.0, 11.1111111111, 3.7037037037, 18.5185185185, 0.0, 7.4074074074, 3.7037037037, 7.4074074074, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,42.5
-1,9000008372,2025-11-21T14:00:00.000Z,hourly,0.9991666667,5.0,28.0,15.0,21.0,0.0,2.0,3.0,13.0,15.0,7.0,8.0,14.0,7.0,0.0,0.0,1,"[28.5714285714, 25.0, 17.8571428571, 17.8571428571, 7.1428571429, 3.5714285714, 0.0, 0.0]","[25.0, 3.5714285714, 14.2857142857, 10.7142857143, 7.1428571429, 10.7142857143, 17.8571428571, 0.0, 7.1428571429, 0.0, 0.0, 3.5714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,34.0
-1,9000008372,2025-11-21T15:00:00.000Z,hourly,0.9994444444,2.0,36.0,27.0,24.0,0.0,0.0,2.0,14.0,22.0,18.0,9.0,18.0,6.0,0.0,0.0,1,"[44.4444444444, 11.1111111111, 27.7777777778, 11.1111111111, 2.7777777778, 0.0, 2.7777777778, 0.0]","[36.1111111111, 8.3333333333, 11.1111111111, 0.0, 5.5555555556, 22.2222222222, 5.5555555556, 5.5555555556, 0.0, 2.7777777778, 0.0, 0.0, 0.0, 2.7777777778, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,31.5
-1,9000008372,2025-11-21T16:00:00.000Z,hourly,0.9938888889,1.0,6.0,0.0,0.0,50.3105802048,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,26.1433447099,24.1672354949,1,"[33.3333333333, 0.0, 0.0, 33.3333333333, 33.3333333333, 0.0, 0.0, 0.0]","[33.3333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 16.6666666667, 16.6666666667, 33.3333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,43.0
-1,9000008372,2025-11-21T17:00:00.000Z,hourly,0.9994444444,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,
